[DBUG] 2026/02/12 21:38 Log level set to "debug"
[DBUG] 2026/02/12 21:38 Using <UUID4> to identify requests
[DBUG] 2026/02/12 21:38 API: 6 registered routes (3 GET, 2 HEAD and 1 POST)
GET: / ./who-is-spy-fe (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
GET: /{file:path} ./who-is-spy-fe (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
GET: /api/v1/ws/join (D:/my_projects/who-is-spy-be/internal/api/http/websocket/game.go:16)

HEAD: / (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)
HEAD: /{file:path} (C:/Users/13809/go/pkg/mod/github.com/kataras/iris/v12@v12.2.11/core/router/fs.go:203)

POST: /api/v1/rooms/create (D:/my_projects/who-is-spy-be/internal/api/http/room.go:11)

Iris Version: 12.2.11

Now listening on: 
> Network:  http://172.19.253.98:2026
> Local:    http://localhost:2026
Application started. Press CTRL+C to shut down.
2026-02-12T21:39:40.340+0800	INFO	service/room.go:67	启动游戏状态机协程	{"room_id": "1c8532ce"}
2026-02-12T21:39:40.473+0800	INFO	service/room.go:122	发送加入房间请求到游戏状态机	{"room_id": "1c8532ce", "joiner_name": "aaa"}
2026-02-12T21:39:40.473+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"JoinGame","data":null}}
2026-02-12T21:39:40.473+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"3ff33777","name":"aaa","role":"Admin"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:39:40.473+0800	INFO	websocket/game.go:112	玩家成功加入房间	{"client_ip": "49.65.134.156", "player_id": "3ff33777", "player_name": "aaa"}
2026-02-12T21:39:40.473+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"3ff33777","name":"aaa","role":"Admin"},"players":[{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:10.499+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "49.65.134.156"}
2026-02-12T21:40:28.172+0800	INFO	service/room.go:122	发送加入房间请求到游戏状态机	{"room_id": "1c8532ce", "joiner_name": "B1"}
2026-02-12T21:40:28.172+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"JoinGame","data":null}}
2026-02-12T21:40:28.172+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:28.172+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "ef695b5a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:28.172+0800	INFO	websocket/game.go:112	玩家成功加入房间	{"client_ip": "123.122.15.156", "player_id": "ef695b5a", "player_name": "B1"}
2026-02-12T21:40:28.172+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:28.172+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"ef695b5a","name":"B1","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:35.010+0800	ERROR	websocket/game.go:73	加入房间失败	{"client_ip": "123.122.15.156", "error": "房间不存在"}
2026-02-12T21:40:35.916+0800	ERROR	websocket/game.go:73	加入房间失败	{"client_ip": "123.122.15.156", "error": "房间不存在"}
2026-02-12T21:40:40.478+0800	DEBUG	websocket/game.go:151	发送心跳	{"client_ip": "49.65.134.156"}
2026-02-12T21:40:45.663+0800	INFO	service/room.go:122	发送加入房间请求到游戏状态机	{"room_id": "1c8532ce", "joiner_name": "B2"}
2026-02-12T21:40:45.663+0800	DEBUG	game/fsm.go:62	接收到客户端请求	{"room_id": "3aa4f7a0", "request": {"request_type":"JoinGame","data":null}}
2026-02-12T21:40:45.663+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "3ff33777", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:45.663+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "ef695b5a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:45.663+0800	DEBUG	game/context.go:53	成功发送广播响应	{"player_id": "2753270a", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:45.663+0800	INFO	websocket/game.go:112	玩家成功加入房间	{"client_ip": "123.122.15.156", "player_id": "2753270a", "player_name": "B2"}
2026-02-12T21:40:45.663+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:45.663+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "49.65.134.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
2026-02-12T21:40:45.663+0800	DEBUG	websocket/game.go:182	发送消息	{"client_ip": "123.122.15.156", "response": {"response_type":"JoinGame","data":{"room_id":"3aa4f7a0","stage":"Waiting","joiner":{"id":"2753270a","name":"B2","role":"Unset"},"players":[{"id":"ef695b5a","name":"B1","role":"Unset"},{"id":"2753270a","name":"B2","role":"Unset"},{"id":"3ff33777","name":"aaa","role":"Admin"}],"master_id":"3ff33777"}}}
